code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
000540,흥국화재,202507100900,20250711,4700,5770,22.43,212,1,140.5,60.0,0.0,35.0,22.5,15.0,10.0,-15.0
131400,이브이첨단소재,202507180900,20250721,1744,2140,22.37,573,3,145.31,60.0,3.31,35.0,20.0,15.0,10.0,2.0
131370,알서포트,202504080900,20250409,3260,4000,22.36,306,1,140.96,60.0,1.46,35.0,17.5,15.0,10.0,2.0
101360,에코앤드림,202303150900,20230316,25181,30891,22.34,39,1,150.5,60.0,8.0,35.0,17.5,15.0,10.0,-8.0
001800,오리온홀딩스,202506040900,20250605,19790,24250,22.2,50,1,140.7,58.2,0.0,35.0,22.5,15.0,10.0,0.0
085670,뉴프렉스,202401220900,20240123,7500,9190,22.19,133,1,147.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
001450,현대해상,202602200900,20260223,35100,43000,22.17,28,3,140.2,60.0,0.0,35.0,16.2,19.0,10.0,-15.0
900300,오가닉티코스메틱,202404170900,20240418,1070,1310,22.09,934,1,151.4,56.4,8.0,35.0,25.0,17.0,10.0,0.0
110990,디아이티,202308040900,20230807,10490,12840,22.06,95,3,152.0,60.0,8.0,35.0,20.0,19.0,10.0,0.0
085660,차바이오텍,202309110900,20230912,16708,20447,22.04,59,1,141.78,60.0,4.78,35.0,25.0,15.0,10.0,-8.0
060570,드림어스컴퍼니,202401190900,20240122,3040,3715,21.87,328,3,142.65,60.0,2.65,35.0,20.0,15.0,10.0,-15.0
080220,제주반도체,202312080900,20231211,9300,11360,21.81,107,3,150.5,60.0,8.0,35.0,22.5,15.0,10.0,-15.0
214370,케어젠,202511280900,20251201,71500,87300,21.76,13,3,141.2,50.0,7.0,33.2,20.0,15.0,10.0,-8.0
277880,티에스아이,202303230900,20230324,10550,12880,21.75,94,1,145.65,48.5,6.0,32.15,20.0,19.0,10.0,10.0
088390,이녹스,202304070900,20230410,35850,43750,21.7,27,3,148.44,60.0,4.44,35.0,20.0,15.0,10.0,0.0
122640,예스티,202308290900,20230830,19100,23300,21.65,52,1,140.7,58.2,0.0,35.0,22.5,15.0,10.0,0.0
336060,웨이버스,202406050900,20240607,1289,1570,21.46,775,2,141.1,45.6,8.0,35.0,22.5,15.0,5.0,-5.0
001440,대한전선,202510290900,20251103,20700,25200,21.4,48,5,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
445090,에이직랜드,202410250900,20241028,31150,37900,21.33,32,3,146.54,56.4,5.14,35.0,20.0,15.0,10.0,5.0
031980,피에스케이홀딩스,202307270900,20230728,27550,33500,21.26,36,1,151.45,56.95,8.0,35.0,22.5,15.0,10.0,0.0
318000,KBG,202408200900,20240821,5840,7100,21.24,171,1,142.3,45.6,0.0,34.7,20.0,19.0,5.0,10.0
376930,노을,202309010900,20230904,2518,3060,21.19,397,3,140.48,58.2,7.78,35.0,22.5,15.0,10.0,-8.0
443670,에스피소프트,202404220900,20240423,20700,25150,21.16,48,1,144.99,57.0,1.49,35.0,22.5,15.0,10.0,-8.0
336060,웨이버스,202406110900,20240612,1507,1830,21.1,663,1,160.3,52.8,8.0,35.0,22.5,15.0,10.0,2.0
115610,이미지스,202310060900,20231010,3365,4086,21.09,297,4,144.0,60.0,0.0,35.0,20.0,19.0,10.0,-15.0
173130,오파스넷,202308110900,20230822,12662,15362,20.99,78,11,145.33,52.8,0.0,35.0,15.54,15.0,10.0,2.0
101360,에코앤드림,202510200900,20251027,21900,26550,20.9,45,7,141.05,39.5,10.0,33.05,22.5,15.0,10.0,10.0
204270,제이앤티씨,202406170900,20240618,18950,22950,20.77,52,1,143.81,58.2,0.0,35.0,6.61,19.0,10.0,0.0
053450,세코닉스,202502170900,20250218,6030,7300,20.73,165,1,144.0,60.0,0.0,35.0,20.0,19.0,10.0,-15.0
048430,유라테크,202504030900,20250404,8870,10730,20.63,112,1,140.2,58.2,0.0,35.0,20.0,19.0,10.0,-8.0
002900,TYM,202508190900,20250820,5870,7100,20.62,170,1,143.0,60.0,8.0,35.0,20.0,15.0,10.0,-5.0
036620,감성코퍼레이션,202505230900,20250526,4350,5260,20.58,229,3,147.81,60.0,15.31,35.0,22.5,15.0,10.0,-25.0
060250,NHN KCP,202509250900,20250926,14970,18100,20.57,66,1,154.63,54.6,0.53,35.0,22.5,15.0,10.0,2.0
015750,성우하이텍,202307060900,20230707,10980,13270,20.52,91,1,141.2,58.2,0.0,35.0,25.0,15.0,10.0,-5.0
094360,칩스앤미디어,202307030900,20230704,15725,19000,20.49,63,1,149.0,60.0,0.0,35.0,20.0,19.0,10.0,-10.0
024910,경창산업,202306020900,20230605,3195,3860,20.48,312,3,147.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
457550,우진엔텍,202505230900,20250526,19960,24100,20.41,50,3,140.83,58.2,0.0,35.0,13.64,15.0,10.0,0.0
004540,깨끗한나라,202412110900,20241212,2315,2795,20.4,431,1,148.9,56.4,0.0,35.0,22.5,15.0,10.0,10.0
064550,바이오니아,202305020900,20230503,59800,72200,20.4,16,1,144.39,60.0,1.89,35.0,22.5,15.0,10.0,0.0
053270,구영테크,202601140900,20260115,2350,2835,20.3,425,1,141.2,58.2,0.0,35.0,25.0,15.0,10.0,-15.0
083450,GST,202403120900,20240313,23231,28017,20.27,43,1,141.57999999999998,57.08,0.0,35.0,17.5,15.0,10.0,-8.0
212710,아이에스티이,202509180900,20250919,10560,12730,20.21,94,1,146.03,56.4,5.13,35.0,17.5,19.0,10.0,2.0
060280,큐렉소,202510200900,20251021,10370,12500,20.21,96,1,148.0,60.0,8.0,35.0,20.0,15.0,10.0,0.0
010120,LS ELECTRIC,202502180900,20250219,241000,290500,20.2,4,1,149.39,57.89,8.0,35.0,22.5,15.0,10.0,-10.0
019210,와이지-원,202601220900,20260127,5750,6930,20.19,173,5,140.2,58.2,0.0,33.61,17.5,11.89,5.0,10.0
343090,HLB사이언스,202507150900,20250716,1577,1900,20.15,634,1,145.5,51.0,8.0,35.0,22.5,19.0,10.0,0.0
000440,중앙에너비스,202310130900,20231016,20300,24450,20.11,49,3,142.7,58.2,0.0,35.0,22.5,15.0,10.0,2.0
096250,와이즈넛,202509120900,20250915,14140,17020,20.03,70,3,141.67,49.2,6.97,35.0,22.5,15.0,10.0,2.0
119850,지엔씨에너지,202305040900,20230508,4570,5500,20.02,218,4,146.7,58.2,16.0,35.0,22.5,15.0,10.0,-25.0
052400,코나아이,202504040900,20250407,34500,41500,19.96,28,3,158.38,60.0,14.66,35.0,10.72,17.0,10.0,2.0
419120,산돌,202402060900,20240207,5420,6519,19.94,184,1,145.2,58.2,0.0,35.0,20.0,15.0,10.0,-8.0
010280,아이티센엔텍,202506160900,20250617,1065,1280,19.85,938,1,140.0,60.0,0.0,35.0,20.0,15.0,10.0,-15.0
003280,흥아해운,202408060900,20240807,2555,3070,19.82,391,1,159.05,47.0,10.0,25.05,25.0,19.0,10.0,10.0
083310,엘오티베큠,202307270900,20230728,19860,23850,19.76,50,1,141.5,60.0,0.0,35.0,17.5,19.0,10.0,-8.0
106240,파인테크닉스,202511070900,20251110,1431,1718,19.72,698,3,141.5,60.0,0.0,35.0,22.5,19.0,10.0,-5.0
028300,HLB,202401260900,20240129,55400,66500,19.7,18,3,148.38,60.0,3.38,35.0,25.0,15.0,10.0,0.0
