code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
067080,대화제약,202503100900,20250311,10450,14120,34.75,95,1
072470,우리산업홀딩스,202510220900,20251023,3445,4655,34.75,290,1
052860,아이앤씨,202408120900,20240813,1703,2300,34.68,587,1
069540,빛과전자,202601090900,20260112,1200,1620,34.63,833,3
001250,GS글로벌,202406210900,20240624,2490,3360,34.57,401,3
040910,아이씨디,202501090900,20250110,5380,7260,34.57,185,1
000680,LS네트웍스,202401220900,20240124,4800,6470,34.42,208,2
000440,중앙에너비스,202310170900,20231019,23000,31000,34.41,43,2
078140,대봉엘에스,202409090900,20240910,18000,24250,34.35,55,1
122690,서진오토모티브,202511120900,20251113,1827,2460,34.28,547,1
258790,소프트캠프,202504020900,20250403,1091,1469,34.28,916,1
090360,로보스타,202510140900,20251015,48900,65800,34.19,20,1
044180,KD,202503310900,20250401,814,1095,34.15,1228,1
294570,쿠콘,202507160900,20250717,38000,51100,34.1,26,1
263700,케어랩스,202504160900,20250417,2380,3200,34.08,420,1
024910,경창산업,202407040900,20240705,2395,3220,34.08,417,1
071670,에이테크솔루션,202512240900,20251226,6100,8200,34.06,163,2
114450,그린생명과학,202511110900,20251112,2790,3750,34.04,358,1
205470,휴마시스,202408060900,20240807,1642,2205,33.92,609,1
091970,나노캠텍,202510240900,20251027,658,883,33.82,1519,3
900110,이스트아시아홀딩스,202507030900,20250704,2050,2750,33.78,487,1
067080,대화제약,202512010900,20251208,17630,23650,33.78,56,7
033310,엠투엔,202504220900,20250423,1802,2415,33.65,554,1
053950,경남제약,202511040900,20251106,722,967,33.56,1385,2
199480,뱅크웨어글로벌,202507100900,20250711,7020,9400,33.53,142,1
091970,나노캠텍,202510150900,20251016,609,815,33.46,1642,1
123330,제닉,202409050900,20240910,10410,13930,33.44,96,5
278280,천보,202510200900,20251027,58500,78200,33.31,17,7
094860,네오리진,202510220900,20251023,1052,1406,33.28,950,1
240600,유진테크놀로지,202508040900,20250805,4400,5880,33.27,227,1
052400,코나아이,202412090900,20241210,19800,26450,33.22,50,1
106240,파인테크닉스,202412240900,20241226,902,1204,33.11,1108,2
109080,옵티시스,202504080900,20250409,9200,12280,33.11,108,1
003230,삼양식품,202405140900,20240517,334500,446500,33.11,2,3
318060,그래피,202511260900,20251127,13410,17900,33.11,74,1
001570,금양,202307280900,20230731,110000,146700,33.0,9,3
052400,코나아이,202505070900,20250508,37500,50000,32.97,26,1
047920,HLB제약,202411180900,20241119,17500,23300,32.78,57,1
073540,에프알텍,202509020900,20250903,1785,2375,32.69,560,1
094820,일진파워,202601150900,20260121,13250,17610,32.54,75,6
033790,피노,202404290900,20240430,1505,2000,32.52,664,1
067080,대화제약,202410080900,20241010,13260,17620,32.51,75,2
160550,NEW,202507300900,20250801,2405,3195,32.48,415,2
090150,아이윈,202412230900,20250107,840,1114,32.25,1190,15
053350,이니텍,202503240900,20250331,7520,9970,32.21,132,7
042520,한스바이오메드,202509120900,20250916,11330,15020,32.2,88,4
294570,쿠콘,202507070900,20250708,30050,39800,32.08,33,1
450140,코오롱모빌리티그룹,202509120900,20250915,5210,6900,32.07,191,3
068330,일신바이오,202408190900,20240820,1515,2005,31.98,660,1
159910,에코글로우,202511120900,20251113,730,966,31.96,1369,1
321260,프로이천,202508130900,20250814,1965,2600,31.95,508,1
038500,삼표시멘트,202601290900,20260202,6760,8930,31.74,147,4
052400,코나아이,202412130900,20241216,25550,33750,31.73,39,3
002240,고려제강,202308010900,20230802,19497,25748,31.7,51,1
